,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
67,reputation,0,187,31655571,28969,0,2452,429427,13,1139
77,reputation,2,29,33334096,8508,0,46,4396258,19,157
126,reputation,0,16,37544056,30425,1,644,274,20,1883
127,reputation,0,16,35012155,30425,0,644,274,18,1883
141,reputation,0,94,37257134,108446,1,917,6068,18,10355
142,reputation,0,94,36912191,108446,0,917,6068,19,10355
143,reputation,0,94,33842576,108446,0,917,6068,6,10355
144,reputation,0,94,37093383,108446,1,917,6068,11,10355
145,reputation,0,94,37330755,108446,0,917,6068,10,10355
146,reputation,0,94,36953621,108446,0,917,6068,11,10355
147,reputation,0,94,29285164,108446,1,917,6068,17,10355
239,reputation,0,812,37410831,36172,0,1732,699224,16,3732
240,reputation,1,1,33078084,41249,1,5464,1006010,12,2506
241,reputation,0,55,30850819,8700,0,794,56672,15,1172
247,reputation,1,10,31927569,25851,0,117,32484,19,3048
254,reputation,0,28,37594513,10738,2,698,911930,16,2483
255,reputation,2,28,31112735,10738,0,698,911930,20,2483
256,reputation,0,28,31874655,10738,0,698,911930,16,2483
257,reputation,0,28,31672052,10738,0,698,911930,16,2483
258,reputation,1,28,37612206,10738,0,698,911930,18,2483
259,reputation,0,28,37751754,10738,0,698,911930,4,2483
260,reputation,1,28,32587718,10738,0,698,911930,16,2483
261,reputation,0,28,35319247,10738,1,698,911930,19,2483
262,reputation,0,28,35772062,10738,0,698,911930,18,2483
263,reputation,0,28,37752896,10738,1,698,911930,10,2483
264,reputation,0,28,32033132,10738,0,698,911930,18,2483
265,reputation,0,28,34228412,10738,0,698,911930,19,2483
275,reputation,3,483,27375605,24592,0,1560,21061,19,2309
276,reputation,0,483,35343186,24592,2,1560,21061,17,2309
277,reputation,2,483,37149731,24592,0,1560,21061,13,2309
303,reputation,0,2440,35725444,17023,0,3114,1084416,10,4195
305,reputation,0,51,36869680,7778,0,438,11755,20,2214
306,reputation,0,51,35864852,7778,-1,438,11755,18,2214
307,reputation,2,51,34769995,7778,0,438,11755,14,2214
308,reputation,1,51,35486262,7778,-1,438,11755,15,2214
309,reputation,0,51,18732925,7778,0,438,11755,14,2214
310,reputation,0,51,37701416,7778,0,438,11755,18,2214
311,reputation,1,51,24308175,7778,0,438,11755,20,2214
312,reputation,0,51,37304406,7778,0,438,11755,10,2214
313,reputation,1,51,35379672,7778,0,438,11755,15,2214
314,reputation,0,51,37676475,7778,1,438,11755,14,2214
315,reputation,0,51,36576270,7778,0,438,11755,18,2214
316,reputation,1,51,37717428,7778,0,438,11755,16,2214
317,reputation,0,51,36411189,7778,0,438,11755,20,2214
318,reputation,0,51,32668104,7778,0,438,11755,13,2214
319,reputation,0,51,35853378,7778,1,438,11755,17,2214
320,reputation,3,51,37597066,7778,0,438,11755,16,2214
330,reputation,2,855,37137191,44166,0,2303,6241235,15,3943
331,reputation,1,855,36896267,44166,0,2303,6241235,17,3943
416,reputation,2,17,29264697,18397,0,577,84539,17,2225
452,reputation,0,36,28203036,10632,1,144,17440,12,662
454,reputation,0,759,26841113,17954,0,1354,3436942,19,2413
501,reputation,0,0,36680384,6742,0,287,532206,12,194
508,reputation,0,796,34719924,36800,0,1793,410636,16,3765
519,reputation,0,18,25159341,10363,0,1841,3189,17,672
533,reputation,10,80,33203660,7286,0,306,3042759,14,540
534,reputation,0,80,32971852,7286,-1,306,3042759,19,540
557,reputation,3,697,37589992,43870,1,1000,717214,11,3529
573,reputation,0,27,34436640,6974,0,167,120820,16,588
586,reputation,2,461,37642104,182476,4,3899,324584,18,26310
603,reputation,11,62,30335961,8707,1,356,404568,19,933
604,reputation,0,62,35212468,8707,0,356,404568,14,933
605,reputation,0,62,28997904,8707,0,356,404568,19,933
638,reputation,0,101,31383988,27681,0,1126,153422,12,2783
639,reputation,0,10,23250914,7052,0,69,1641422,20,584
649,reputation,0,29,35563832,7936,1,1068,28901,19,516
697,reputation,0,198,33542204,20587,0,1898,38522,13,2797
698,reputation,2,198,35154609,20587,0,1898,38522,18,2797
699,reputation,0,198,32889015,20587,0,1898,38522,7,2797
700,reputation,1,198,24763792,20587,0,1898,38522,19,2797
701,reputation,0,198,33732365,20587,0,1898,38522,13,2797
702,reputation,0,198,34335316,20587,0,1898,38522,18,2797
